SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Arms Act,65352,1342,55734,8276,85.3,12.7
2,Narcotic Drugs & Psychotropic Substances Act,14767,259,10697,3811,72.4,25.8
3,Gambling Act,232829,686,312509,10634,96.5,3.3
4,Excise Act,118789,2056,99282,17451,83.6,14.7
5,Prohibition Act,740108,44417,541347,154344,73.1,20.9
6,Explosive & Explosive Substances Act,6866,693,3952,2221,57.6,32.3
7,Immoral Traffic (Prevention) Act,17122,77,15921,1124,93,6.6
8,Motor Vehicle Act,1462231,350,1350412,111469,92.4,7.6
9,Prevention of Corruption Act,682,34,312,336,45.7,49.3
10,Customs Act,279,38,200,41,71.7,14.7
11,Indian Railways Act,29966,179,29206,581,97.5,1.9
12,Other Offences under Local and Special Laws,1253049,72108,1152175,28766,91.9,2.3
13,Total Cognizable Crimes Under Local and Special Laws,4033040,122239,3571747,339054,88.6,8.4
