SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Murder,3.2,67.6,29.1,80.7
2,C.H. Not Amounting to Murder,4.9,64.8,30.4,81.1
3,Rape,7.4,65.4,27.2,90.3
4,Kidnapping & Abduction,19.1,50.2,30.7,74
5,Dacoity,7.3,58.5,34.3,638
6,Robbery,11.8,64.1,24.1,59.8
7,Burglary,5.1,74.9,20,40.1
8,Theft,5.8,74.9,19.3,41.8
9,Riots,11.2,65.1,23.7,85.5
10,Criminal Breach of Trust,9.9,50.3,39.8,71.7
11,Cheating,12.5,51.6,35.9,68.3
12,Counterfeiting,22.8,39.7,37.5,30.3
13,Other IPC Offences,6.2,79.1,14.7,89.1
14,Total Cognizable Crimes Under IPC,6.8,74.4,18.8,72.4
