SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completd During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,75446,645,16505,6913,58296
2,C.H. Not Amounting to Murder,10208,63,2341,1030,7804
3,Rape,20484,214,4435,1617,15835
4,Kidnapping & Abduction,33357,511,5817,2042,27029
5,Dacoity,35823,95,5757,1888,29971
6,Robbery,49621,361,8158,3119,41102
7,Burglary,164665,3911,36238,17716,124516
8,Theft,451267,12367,95500,52932,343400
9,Riots,304879,15321,49861,17094,239697
10,Criminal Breach of Trust,55619,1012,7388,2983,47219
11,Cheating,49726,1091,6843,2950,41792
12,Counterfeiting,1023,18,199,84,806
13,Other IPC Offences,1858373,111627,394148,200145,1352598
14,Total Cognizable Crimes Under IPC,3110491,147236,633190,310513,2330065
