SL. No. ,Heads of Crime ,Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year ,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable ,Number of Cases Other than Shown in Column 4 in which Investigation was Completed ,Number of Cases in which Chargesheets were Laid ,Number of Cases in which Could not be Sent for Trial for Want of Evidence ,Number of Cases Pending Investigation at the End of the Year 
1,Murder,40154,1293,27158,21929,5229,11703
2,C.H. Not Amounting to Murder,5304,259,3435,2787,648,1610
3,Rape,11393,841,7452,6730,722,3100
4,Kidnapping & Abduction,21577,4116,10838,8025,2813,6623
5,Dacoity,16080,1170,9401,5995,3406,5509
6,Robbery,29394,3470,18852,11280,7572,7072
7,Burglary,155500,7937,116406,46659,69747,31157
8,Theft,382231,22154,286256,119772,166484,73821
9,Riots,116876,13059,76064,65063,11001,27753
10,Criminal Breach of Trust,31466,3115,15822,11348,4474,12529
11,Cheating,36056,4524,18586,12690,5896,12944
12,Counterfeiting,2645,604,1050,318,732,991
13,Other IPC Offences,873848,54249,690837,615849,74988,128762
14,Total Cognizable Crimes Under IPC,1722522,116791,1282157,928445,353712,323574
