SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Arms Act,0.6,87.9,11.5,96.9
2,Narcotic Drugs & Psychotropic Substances Act,0.6,71.2,28.2,96.6
3,Gambling Act,0,95.1,4.9,99.7
4,Excise Act,0.8,86.8,12.4,95
5,Prohibition Act,2.8,74.6,22.7,90.3
6,Explosive & Explosive Substances Act,3.8,56.7,39.5,83.1
7,Immoral Traffic (Prevention) Act,0,96,4,99.6
8,Motor Vehicle Act,0,99.4,0.6,99.9
9,Prevention of Corruption Act,2.7,44.5,52.8,72.1
10,Customs Act,28.2,66.7,5.1,97.4
11,Indian Railways Act,4.2,89.2,6.7,88.9
12,Other Offences,3.4,91.9,4.7,98.3
13,Total Cognizable Crimes Under Local and Special Laws,1.7,91.1,7.1,97.6
