SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial During the Year,Percentage of Cases in which Trials were Completed to Total Cases for Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Arms Act,0.3,26.8,73,64.7
2,Narcotic Drugs & Psychotropic Substances Act,0.3,32.6,67.1,47.2
3,Gambling Act,1,51.5,47.5,86.6
4,Excise Act,1.2,34.2,64.6,72.9
5,Prohibition Act,1.8,23.1,75.1,56.6
6,Explosive & Explosive Substances Act,0.3,22.9,76.9,52.4
7,Immoral Traffic (Prevention) Act,0.9,67.6,31.5,92.7
8,Motor Vehicle Act,5.2,69.2,25.6,95.1
9,Prevention of Corruption Act,0.1,23.6,76.3,41
10,Customs Act,0.4,38.8,60.8,53.5
11,Indian Railways Act,0.2,63.1,36.7,96
12,Other Offences,0.5,76.1,23.4,90.9
13,Total Cognizable Crimes Under Local and Special Laws,2.5,57.4,40.1,88.7
