SL. No.,Year,Estimated mid year population (in Lakh),Total cognizable crime cases under IPC,Total juvenile crime cases under IPC,Percentage of juvenile crime to total cognizable crime,Volume of juvenile crime per lakh of population
1,1977,6258,1267004,44008,3.5,7
2,1978,6384,1344968,44284,3.3,6.9
3,1979,6510,1336168,46351,3.5,7.1
4,1980,636,1368529,55129,4,8.3
5,1981,6901,1385757,61019,4.4,8.8
6,1982,7052,1353904,59345,4.4,8.4
7,1983,7204,1349866,55473,4.1,7.7
8,1984,7356,1358660,42803,3.2,5.8
9,1985,7509,1384731,49317,3.6,6.6
10,1986,7661,1405835,55887,4,7.3
11,1987,7814,1406992,52610,3.7,6.7
