SL. No.,Year,7-12 Years,7-12 Years - Percentage to Total,12-16 Years,12-16 Years - Percentage to Total,16-18 Years,16-18 Years - Percentage to Total,18-21 Years,18-21 Years - Percentage to Total,Over All Age Group
1,1977,15113,10.1,21391,14.4,24011,16.1,88407,59.4,148922
2,1978,11955,7.4,18954,11.8,25488,15.8,104522,65,160919
3,1979,10539,6.2,18315,10.8,26226,15.4,114963,67.6,170043
4,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
5,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
6,1982,8272,4.9,15218,9.1,25618,15.2,119229,70.8,168337
7,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
8,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
9,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
10,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
11,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
Percentage Change in 1987 Over 1977,Percentage Change in 1987 Over 1977,-65.1,NA,-51.4,NA,-7.5,NA,60.7,NA,20.8
Percentage Change in 1987 Over 1986,Percentage Change in 1987 Over 1986,2.7,NA,-14.6,NA,-7.2,NA,10.2,NA,5.8
